word,transcription,numLetters,numPhonemes,difference
July,dʒuˈlaɪ,4,6,-2
forget,fəˈɡet,6,5,1
avoid,əˈvɔɪd,5,5,0
quickly,ˈkwɪkli,7,6,1
along,əˈlɒŋ,5,4,1
determine,dɪˈtɜ:mɪn,9,7,2
doubt,daʊt,5,4,1
save,seɪv,4,4,0
fund,fʌnd,4,4,0
husband,ˈhʌzbənd,7,7,0
title,ˈtaɪtl,5,5,0
glass,glɑ:s,5,4,1
tend,tend,4,4,0
duty,ˈdju:ti,4,5,-1
anyway,ˈeniweɪ,6,6,0
suppose,səˈpəʊz,7,6,1
discussion,dɪˈskʌʃn,10,7,3
finish,ˈfɪnɪʃ,6,5,1
wonder,ˈwʌndə,6,5,1
aspect,ˈæspekt,6,6,0
generally,ˈdʒenrəli,9,8,1
treat,tri:t,5,4,1
throughout,θru:ˈaʊt,10,6,4
united,juˈnaɪtɪd,6,8,-2
industrial,ɪnˈdʌstriəl,10,10,0
customer,ˈkʌstəmə,8,7,1
institution,ˌɪnstɪˈtjuːʃn,11,11,0
remove,rɪˈmu:v,6,5,1
profit,ˈprɒfɪt,6,6,0
summer,ˈsʌmə,6,4,2
specific,spəˈsɪfɪk,8,8,0
visit,ˈvɪzɪt,5,5,0
daughter,ˈdɔ:tə,8,4,4
exist,ɪgˈzɪst,5,6,-1
encourage,ɪnˈkʌrɪdʒ,9,8,1
appropriate,əˈprəʊpriət,11,10,1
sun,sʌn,3,3,0
leg,leg,3,3,0
nearly,ˈnɪəli,6,5,1
conference,ˈkɒnfərəns,10,9,1
division,dɪˈvɪʒn,8,6,2
reflect,rɪˈflekt,7,7,0
river,ˈrɪvə,5,4,1
measure,ˈmeʒə,7,4,3
listen,ˈlɪsn,6,4,2
procedure,prəˈsi:dʒə,9,8,1
proposal,prəˈpəʊzl,8,8,0
commission,kəˈmɪʃn,10,6,4
stone,stəʊn,5,5,0
box,bɒks,3,4,-1
suddenly,ˈsʌdənli,8,7,1
sector,ˈsektə,6,5,1
baby,ˈbeɪbi,4,5,-1
assume,əˈsju:m,6,5,1
improve,ɪmˈpru:v,7,6,1
post,pəʊst,4,5,-1
throw,θrəʊ,5,4,1
oil,ɔɪl,3,3,0
admit,ədˈmɪt,5,5,0
replace,rɪˈpleɪs,7,7,0
dead,ded,4,3,1
prepare,prɪˈpeə,7,6,1
circumstance,"ˈsɜ:kəmstəns, ˈsɜ:kəmstɑ:ns, ˈsɜ:kəmstæns",12,10,2
unless,ənˈles,6,5,1
image,ˈɪmɪdʒ,5,5,0
sorry,ˈsɒri,5,4,1
speaker,ˈspi:kə,7,5,2
client,ˈklaɪənt,6,7,-1
mention,ˈmenʃn,7,5,2
military,ˈmɪlətri,8,7,1
successful,səkˈsesfl,10,8,2
disease,dɪˈzi:z,7,5,2
Soviet,"ˈsəʊviət, ˈsɒviət",6,7,-1
instance,ˈɪnstəns,8,7,1
original,əˈrɪdʒənl,8,8,0
employment,ɪmˈplɔɪmənt,10,10,0
addition,əˈdɪʃn,8,5,3
obviously,ˈɒbviəsli,9,8,1
direction,"dəˈrekʃn, daɪˈrekʃn",9,7,2
basic,ˈbeɪsɪk,5,6,-1
goal,ɡəʊl,4,4,0
attitude,ˈætɪtju:d,8,7,1
dark,dɑ:k,4,3,1
attack,əˈtæk,6,4,2
intend,ɪnˈtend,6,6,0
fill,fɪl,4,3,1
october,ɒkˈtəʊbə,7,7,0
respect,rɪˈspekt,7,7,0
appeal,əˈpi:l,6,4,2
technique,tekˈni:k,9,6,3
aware,əˈweə,5,4,1
seat,si:t,4,3,1
fight,faɪt,5,4,1
prevent,prɪˈvent,7,7,0
pupil,ˈpju:pl,5,5,0
campaign,kæmˈpeɪn,8,7,1
fish,fɪʃ,4,3,1
version,ˈvɜ:ʃn,7,4,3
okay,əʊˈkeɪ,4,5,-1
item,ˈaɪtəm,4,5,-1
ability,əˈbɪləti,7,7,0
hit,hɪt,3,3,0
affair,əˈfeə,6,4,2
popular,ˈpɒpjələ,7,7,0
sales,seɪlz,5,5,0
miss,mɪs,4,3,1
refuse,"rɪˈfju:z, ˈrefju:s",6,6,0
september,sɛpˈtembə,9,8,1
professional,prəˈfeʃənl,12,9,3
yourself,"jɔ:ˈself, jəˈself",8,6,2
advice,ədˈvaɪs,6,6,0
direct,"dəˈrekt, daɪˈrekt",6,6,0
exactly,ɪɡˈzæktli,7,8,-1
holiday,"ˈhɒlədeɪ, ˈhɒlədi",7,7,0
discover,dɪˈskʌvə,8,7,1
germany,ˈdʒɜ:məni,7,7,0
drop,drɒp,4,4,0
sign,saɪn,4,4,0
drug,drʌg,4,4,0
smile,smaɪl,5,5,0
library,"ˈlaɪbrəri, ˈlaɪbri",7,8,-1
teach,ti:tʃ,5,4,1
america,əˈmerɪkə,7,7,0
surface,ˈsɜ:fɪs,7,5,2
press,pres,5,4,1
reveal,rɪˈvi:l,6,5,1
operate,ˈɒpəreɪt,7,7,0
thousand,ˈθaʊznd,8,6,2
variety,vəˈraɪəti,7,8,-1
beyond,bɪˈjɒnd,6,6,0
heavy,ˈhevi,5,4,1
advantage,ədˈvɑːntɪdʒ,9,10,-1
culture,ˈkʌltʃə,7,6,1
january,ˈdʒænjuəri,7,9,-2
push,pʊʃ,4,3,1
competition,ˌkɒmpəˈtɪʃn,11,9,2
parliament,ˈpɑːləmənt,10,9,1
goods,gʊdz,5,4,1
maybe,ˈmeɪbi,5,5,0
enable,ɪˈneɪbl,6,6,0
majority,məˈdʒɒrəti,8,9,-1
lay,leɪ,3,3,0
extent,ɪkˈstent,6,7,-1
worth,wɜ:θ,5,3,2
reference,ˈrefrəns,9,7,2
useful,ˈju:sfl,6,5,1
television,ˈtelɪvɪʒn,10,8,2
memory,ˈmeməri,6,6,0
access,ˈækses,6,5,1
complete,kəmˈpli:t,8,7,1
effective,ɪˈfektɪv,9,7,2
star,stɑ:,4,3,1
payment,ˈpeɪmənt,7,7,0
immediately,ɪˈmi:diətli,11,9,2
sunday,"ˈsʌndeɪ, ˈsʌndi",6,6,0
scottish,ˈskɒtɪʃ,8,6,2
cold,kəʊld,4,5,-1
blood,blʌd,5,4,1
ready,ˈredi,5,4,1
green,ɡri:n,5,4,1
apart,əˈpɑ:t,5,4,1
facility,fəˈsɪləti,8,8,0
independent,ˌɪndɪˈpendənt,11,11,0
traditional,trəˈdɪʃənl,11,9,2
survey,ˈsɜ:veɪ,6,5,1
bar,bɑ:,3,2,1
york,jɔ:k,4,3,1
context,ˈkɒntekst,7,8,-1
district,ˈdɪstrɪkt,8,8,0
easily,ˈi:zəli,6,5,1
check,tʃek,5,4,1
extend,ɪkˈstend,6,7,-1
western,ˈwestən,7,6,1
importance,ɪmˈpɔ:tns,10,7,3
ireland,ˈaɪələnd,7,7,0
object,"ˈɒbdʒɪkt, ˈɒbdʒekt",6,7,-1
planning,ˈplænɪŋ,8,6,2
species,ˈspi:ʃi:z,7,6,1
communication,kəˌmju:nɪˈkeɪʃn,13,12,1
collection,kəˈlekʃn,10,7,3
arise,əˈraɪz,5,5,0
article,ˈɑ:tɪkl,7,5,2
agency,ˈeɪdʒənsi,6,8,-2
involved,ɪnˈvɒlvd,8,7,1
bird,bɜ:d,4,3,1
considerable,kənˈsɪdərəbl,12,11,1
card,kɑ:d,4,3,1
realise,"ˈri:əlaɪz, ˈrɪəlaɪz",7,7,0
